[TYPE];[IDENT];[CLASS];[COMBINATION];[LENGTH];[CLIMB];[START];[CTRL1]; … ;[CTRLn];[FINISH];
Relay;D101;D 1. osuus;D1LQRT;;;V1;L1;82;79;74;33;72;34;42;61;73;50;49;52;100;V2;M1
Relay;D102;D 1. osuus;D1LQRU;;;V1;L1;82;79;74;33;72;34;42;61;73;50;49;36;100;V2;M1
Relay;D103;D 1. osuus;D1LQST;;;V1;L1;82;79;74;33;72;41;56;61;73;50;49;52;100;V2;M1
Relay;D104;D 1. osuus;D1LQSU;;;V1;L1;82;79;74;33;72;41;56;61;73;50;49;36;100;V2;M1
Relay;D105;D 1. osuus;D1MPRT;;;V1;L1;76;83;74;55;72;34;42;61;73;50;49;52;100;V2;M1
Relay;D106;D 1. osuus;D1MPRU;;;V1;L1;76;83;74;55;72;34;42;61;73;50;49;36;100;V2;M1
Relay;D107;D 1. osuus;D1MPST;;;V1;L1;76;83;74;55;72;41;56;61;73;50;49;52;100;V2;M1
Relay;D108;D 1. osuus;D1MPSU;;;V1;L1;76;83;74;55;72;41;56;61;73;50;49;36;100;V2;M1
Relay;D109;D 1. osuus;D1NORT;;;V1;L1;76;80;74;32;72;34;42;61;73;50;49;52;100;V2;M1
Relay;D110;D 1. osuus;D1NORU;;;V1;L1;76;80;74;32;72;34;42;61;73;50;49;36;100;V2;M1
Relay;D111;D 1. osuus;D1NOST;;;V1;L1;76;80;74;32;72;41;56;61;73;50;49;52;100;V2;M1
Relay;D112;D 1. osuus;D1NOSU;;;V1;L1;76;80;74;32;72;41;56;61;73;50;49;36;100;V2;M1
Relay;D201;D 2. osuus;D2LQT;;;V1;L1;82;79;74;33;72;41;60;49;52;100;V2;M1
Relay;D202;D 2. osuus;D2LQU;;;V1;L1;82;79;74;33;72;41;60;49;36;100;V2;M1
Relay;D203;D 2. osuus;D2MPT;;;V1;L1;76;83;74;55;72;41;60;49;52;100;V2;M1
Relay;D204;D 2. osuus;D2MPU;;;V1;L1;76;83;74;55;72;41;60;49;36;100;V2;M1
Relay;D205;D 2. osuus;D2NOT;;;V1;L1;76;80;74;32;72;41;60;49;52;100;V2;M1
Relay;D206;D 2. osuus;D2NOU;;;V1;L1;76;80;74;32;72;41;60;49;36;100;V2;M1
Relay;D301;D 3. osuus;D3LQR;;;V1;L1;82;79;74;33;72;34;42;61;73;46;59;54;84;100;V2;M1
Relay;D302;D 3. osuus;D3LQS;;;V1;L1;82;79;74;33;72;41;56;61;73;46;59;54;84;100;V2;M1
Relay;D303;D 3. osuus;D3MPR;;;V1;L1;76;83;74;55;72;34;42;61;73;46;59;54;84;100;V2;M1
Relay;D304;D 3. osuus;D3MPS;;;V1;L1;76;83;74;55;72;41;56;61;73;46;59;54;84;100;V2;M1
Relay;D305;D 3. osuus;D3NOR;;;V1;L1;76;80;74;32;72;34;42;61;73;46;59;54;84;100;V2;M1
Relay;D306;D 3. osuus;D3NOS;;;V1;L1;76;80;74;32;72;41;56;61;73;46;59;54;84;100;V2;M1
